iter	Passed	Remaining
685	28939	13246
686	28982	13204
687	29023	13161
688	29064	13119
689	29108	13077
690	29149	13034
691	29193	12993
692	29239	12952
693	29283	12911
694	29326	12869
695	29366	12826
696	29409	12784
697	29451	12742
698	29495	12701
699	29536	12658
700	29578	12616
701	29621	12574
702	29667	12533
703	29710	12491
704	29755	12450
705	29797	12408
706	29841	12366
707	29883	12324
708	29925	12282
709	29968	12240
710	30012	12199
711	30052	12156
712	30096	12114
713	30137	12072
714	30179	12029
715	30219	11986
716	30259	11943
717	30304	11902
718	30344	11859
719	30387	11817
720	30431	11775
721	30475	11734
722	30518	11692
723	30563	11651
724	30603	11608
725	30648	11566
726	30690	11524
727	30731	11481
728	30772	11439
729	30814	11397
730	30855	11354
731	30896	11311
732	30940	11270
733	30982	11228
734	31022	11185
735	31065	11142
736	31105	11099
737	31147	11057
738	31188	11015
739	31230	10972
740	31276	10931
741	31317	10889
742	31358	10846
743	31402	10805
744	31445	10763
745	31483	10719
746	31524	10677
747	31567	10635
748	31612	10593
749	31656	10552
750	31699	10510
751	31744	10468
752	31785	10426
753	31827	10384
754	31871	10342
755	31912	10299
756	31954	10257
757	31996	10215
758	32036	10172
759	32080	10130
760	32121	10087
761	32161	10045
762	32205	10003
763	32249	9961
764	32291	9919
765	32331	9876
766	32375	9834
767	32415	9792
768	32455	9749
769	32496	9706
770	32539	9664
771	32581	9622
772	32621	9579
773	32663	9537
774	32708	9496
775	32750	9453
776	32790	9411
777	32831	9368
778	32873	9326
779	32917	9284
780	32958	9241
781	33001	9199
782	33047	9158
783	33090	9116
784	33135	9075
785	33176	9032
786	33216	8989
787	33257	8947
788	33300	8905
789	33340	8862
790	33383	8820
791	33424	8778
792	33466	8735
793	33507	8693
794	33551	8651
795	33592	8609
796	33633	8566
797	33671	8523
798	33713	8481
799	33758	8439
800	33800	8397
801	33842	8355
802	33885	8313
803	33927	8270
804	33968	8228
805	34011	8186
806	34055	8144
807	34099	8102
808	34141	8060
809	34181	8017
810	34225	7976
811	34265	7933
812	34308	7891
813	34350	7849
814	34393	7807
815	34435	7764
816	34476	7722
817	34519	7680
818	34560	7637
819	34604	7596
820	34645	7553
821	34686	7511
822	34727	7468
823	34770	7426
824	34808	7383
825	34848	7340
826	34892	7299
827	34931	7256
828	34972	7213
829	35013	7171
830	35053	7128
831	35097	7087
832	35141	7045
833	35184	7003
834	35226	6960
835	35268	6918
836	35313	6876
837	35353	6834
838	35397	6792
839	35442	6750
840	35483	6708
841	35526	6666
842	35566	6623
843	35606	6581
844	35648	6539
845	35690	6496
846	35731	6454
847	35774	6412
848	35818	6370
849	35860	6328
850	35905	6286
851	35946	6244
852	35987	6201
853	36027	6159
854	36070	6117
855	36114	6075
856	36155	6032
857	36196	5990
858	36237	5948
859	36279	5906
860	36319	5863
861	36361	5821
862	36403	5779
863	36447	5737
864	36488	5694
865	36531	5652
866	36573	5610
867	36615	5568
868	36656	5525
869	36699	5483
870	36741	5441
871	36784	5399
872	36828	5357
873	36865	5314
874	36909	5272
875	36955	5231
876	36998	5189
877	37040	5146
878	37080	5104
879	37122	5062
880	37164	5019
881	37206	4977
882	37245	4935
883	37290	4893
884	37332	4851
885	37373	4808
886	37416	4766
887	37461	4724
888	37501	4682
889	37544	4640
890	37585	4598
891	37625	4555
892	37668	4513
893	37710	4471
894	37752	4429
895	37792	4386
896	37834	4344
897	37875	4302
898	37920	4260
899	37965	4218
900	38007	4176
901	38048	4133
902	38092	4091
903	38135	4049
904	38179	4007
905	38222	3965
906	38262	3923
907	38306	3881
908	38348	3839
909	38391	3796
910	38433	3754
911	38476	3712
912	38521	3670
913	38564	3628
914	38607	3586
915	38649	3544
916	38692	3502
917	38735	3460
918	38777	3417
919	38820	3375
920	38862	3333
921	38904	3291
922	38942	3248
923	38982	3206
924	39026	3164
925	39068	3122
926	39112	3080
927	39153	3037
928	39196	2995
929	39239	2953
930	39282	2911
931	39321	2868
932	39365	2826
933	39405	2784
934	39446	2742
935	39489	2700
936	39530	2657
937	39572	2615
938	39615	2573
939	39657	2531
940	39702	2489
941	39744	2447
942	39785	2404
943	39826	2362
944	39868	2320
945	39909	2278
946	39948	2235
947	39988	2193
948	40028	2151
949	40070	2108
950	40111	2066
951	40154	2024
952	40195	1982
953	40236	1940
954	40281	1898
955	40323	1855
956	40366	1813
957	40410	1771
958	40455	1729
959	40496	1687
960	40539	1645
961	40584	1603
962	40626	1560
963	40667	1518
964	40709	1476
965	40751	1434
966	40793	1392
967	40833	1349
968	40875	1307
969	40915	1265
970	40957	1223
971	41002	1181
972	41043	1138
973	41089	1096
974	41134	1054
975	41175	1012
976	41216	970
977	41257	928
978	41297	885
979	41338	843
980	41383	801
981	41426	759
982	41467	717
983	41510	674
984	41552	632
985	41595	590
986	41636	548
987	41677	506
988	41717	463
989	41756	421
990	41797	379
991	41841	337
992	41884	295
993	41923	253
994	41963	210
995	42005	168
996	42044	126
997	42086	84
998	42127	42
999	42170	0
